Experiment_ID	Experiment_Type	Method	TF_Source_Type
exp_1528	binding	chip	not_applicable
exp_1532	binding	chip	not_applicable
exp_1537	binding	chip	not_applicable
exp_1540	binding	emsa	cell_line
exp_1542	binding	chip	not_applicable
exp_1544	binding	chip	not_applicable
exp_1545	binding	chip	not_applicable
exp_1547	binding	chip	not_applicable
exp_1549	binding	chip	not_applicable
exp_1551	binding	chip	not_applicable
exp_1553	binding	chip	not_applicable
exp_1555	binding	chip	not_applicable
exp_1557	binding	chip	not_applicable
exp_1559	binding	chip	not_applicable
exp_1561	binding	chip	not_applicable
exp_1563	binding	chip	not_applicable
exp_1565	binding	chip	not_applicable
exp_1568	binding	chip	not_applicable
exp_1569	binding	chip	not_applicable
exp_1570	binding	chip	not_applicable
exp_1573	binding	emsa	cell_line
exp_1574	binding	emsa	cell_line
exp_1575	binding	emsa	cell_line
exp_1579	binding	chip	not_applicable
exp_1582	binding	chip	not_applicable
exp_1586	binding	chip	not_applicable
exp_1587	binding	chip	not_applicable
exp_1589	binding	chip	not_applicable
exp_1591	binding	chip	not_applicable
exp_1593	binding	chip	not_applicable
exp_1595	binding	chip	not_applicable
exp_1597	binding	chip	not_applicable
exp_1599	binding	chip	not_applicable
exp_1601	binding	chip	not_applicable
exp_1604	binding	chip	not_applicable
exp_1606	binding	chip	not_applicable
exp_1608	binding	chip	not_applicable
exp_1609	binding	emsa	cell_line
exp_1612	binding	chip	not_applicable
exp_1613	binding	chip	not_applicable
exp_1615	binding	chip	not_applicable
exp_1617	binding	emsa	unknown
exp_1618	binding	chip	not_applicable
exp_1623	binding	emsa	cell_line
exp_1626	binding	emsa	cell_line
exp_1630	binding	chip	not_applicable
exp_1631	binding	chip	not_applicable
exp_1632	binding	chip	not_applicable
exp_1637	binding	chip	not_applicable
exp_1640	binding	chip	not_applicable
exp_1642	binding	chip	not_applicable
exp_1644	binding	chip	not_applicable
exp_1645	binding	chip	not_applicable
exp_1646	binding	chip	not_applicable
exp_1647	binding	chip	not_applicable
exp_1648	binding	chip	not_applicable
exp_1649	binding	chip	not_applicable
exp_1650	binding	chip	not_applicable
exp_1651	binding	chip	not_applicable
exp_1652	binding	chip	not_applicable
exp_1654	binding	chip	not_applicable
exp_1656	binding	chip	not_applicable
exp_1658	binding	chip	not_applicable
exp_1660	binding	chip	not_applicable
exp_1661	binding	chip	not_applicable
exp_1662	binding	chip	not_applicable
exp_1663	binding	chip	not_applicable
exp_1664	binding	chip	not_applicable
exp_1665	binding	chip	not_applicable
exp_1666	binding	chip	not_applicable
exp_1667	binding	chip	not_applicable
exp_1670	binding	chip	not_applicable
exp_1671	binding	chip	not_applicable
exp_1672	binding	emsa	cell_line
exp_1676	binding	chip	not_applicable
exp_1679	binding	chip	not_applicable
exp_1681	binding	chip	not_applicable
exp_1684	binding	chip	not_applicable
exp_1685	binding	chip	not_applicable
exp_1687	binding	chip	not_applicable
exp_1689	binding	emsa	cell_line
exp_1691	binding	chip	not_applicable
exp_1692	binding	chip	not_applicable
exp_1697	binding	chip	not_applicable
exp_1698	binding	chip	not_applicable
exp_1703	binding	chip	not_applicable
exp_1704	binding	chip	not_applicable
exp_1708	binding	chip	not_applicable
exp_1711	binding	chip	not_applicable
exp_1714	binding	emsa	cell_line
exp_1717	binding	chip	not_applicable
exp_1723	binding	chip	not_applicable
exp_1725	binding	chip	not_applicable
exp_1727	binding	chip	not_applicable
exp_1728	binding	chip	not_applicable
exp_1729	binding	chip	not_applicable
exp_1733	binding	chip	not_applicable
exp_1734	binding	emsa	cell_line
exp_1739	binding	chip	not_applicable
exp_1740	binding	chip	not_applicable
exp_1742	binding	chip	not_applicable
exp_1745	binding	chip	not_applicable
exp_1748	binding	emsa	cell_line
exp_1751	binding	chip	not_applicable
exp_1757	binding	chip	not_applicable
exp_1762	binding	chip	not_applicable
exp_1765	binding	chip	not_applicable
exp_1769	binding	chip	not_applicable
exp_1775	binding	emsa	cell_line
exp_1777	binding	chip	not_applicable
exp_1784	binding	emsa	cell_line
exp_1785	binding	chip	not_applicable
exp_1790	binding	chip	not_applicable
exp_1791	binding	chip	not_applicable
exp_1795	binding	chip	not_applicable
exp_1798	binding	chip	not_applicable
exp_1805	binding	chip	not_applicable
exp_1808	binding	chip	not_applicable
exp_1810	binding	chip	not_applicable
exp_1812	binding	chip	not_applicable
exp_1813	binding	chip	not_applicable
exp_1819	binding	chip	not_applicable
exp_1821	binding	chip	not_applicable
exp_1823	binding	chip	not_applicable
exp_1825	binding	chip	not_applicable
exp_1829	binding	chip	not_applicable
exp_1830	binding	chip	not_applicable
exp_1831	binding	emsa	cell_line
exp_1832	binding	emsa	cell_line
exp_1836	binding	emsa	cell_line
exp_1841	binding	emsa	cell_line
exp_1859	binding	emsa	cell_line
exp_1860	binding	chip	not_applicable
exp_1861	binding	chip	not_applicable
exp_1862	binding	chip	not_applicable
exp_1863	binding	chip	not_applicable
exp_1864	binding	chip	not_applicable
exp_1866	binding	chip	not_applicable
exp_1868	binding	chip	not_applicable
exp_1871	binding	chip	not_applicable
exp_1872	binding	chip	not_applicable
exp_1875	binding	chip	not_applicable
exp_1877	binding	chip	not_applicable
exp_1879	binding	chip	not_applicable
exp_1881	binding	chip	not_applicable
exp_1883	binding	chip	not_applicable
exp_1885	binding	chip	not_applicable
exp_1888	binding	chip	not_applicable
exp_1891	binding	chip	not_applicable
exp_1893	binding	chip	not_applicable
exp_1899	binding	chip	not_applicable
exp_1906	binding	chip	not_applicable
exp_1908	binding	chip	not_applicable
exp_1910	binding	chip	not_applicable
exp_1911	binding	chip	not_applicable
exp_1914	binding	chip	not_applicable
exp_1917	binding	chip	not_applicable
exp_1920	binding	chip	not_applicable
exp_1923	binding	chip	not_applicable
exp_1928	binding	chip	not_applicable
exp_1930	binding	chip	not_applicable
exp_1933	binding	chip	not_applicable
exp_1939	binding	chip	not_applicable
exp_1942	binding	chip	not_applicable
exp_1944	binding	chip	not_applicable
exp_1948	binding	chip	not_applicable
exp_1952	binding	chip	not_applicable
exp_1955	binding	chip	not_applicable
exp_1958	binding	chip	not_applicable
exp_1961	binding	chip	not_applicable
exp_1964	binding	chip	not_applicable
exp_1969	binding	chip	not_applicable
exp_1974	binding	chip	not_applicable
exp_1976	binding	chip	not_applicable
exp_1979	binding	chip	not_applicable
exp_1982	binding	chip	not_applicable
exp_1983	binding	chip	not_applicable
exp_1991	binding	chip	not_applicable
exp_1994	binding	chip	not_applicable
exp_1997	binding	emsa	cell_line
exp_2003	binding	chip	not_applicable
exp_2004	binding	chip	not_applicable
exp_2005	binding	chip	not_applicable
exp_2006	binding	chip	not_applicable
exp_2009	binding	chip	not_applicable
exp_2017	binding	chip	not_applicable
exp_2020	binding	chip	not_applicable
exp_2022	binding	chip	not_applicable
exp_2024	binding	chip	not_applicable
exp_2025	binding	chip	not_applicable
exp_2030	binding	chip	not_applicable
exp_2032	binding	chip	not_applicable
exp_2034	binding	chip	not_applicable
exp_2036	binding	chip	not_applicable
exp_2037	binding	chip	not_applicable
exp_2042	binding	chip	not_applicable
exp_2043	binding	chip	not_applicable
exp_2044	binding	chip	not_applicable
exp_2045	binding	chip	not_applicable
exp_2046	binding	chip	not_applicable
exp_2047	binding	chip	not_applicable
